Screen ID,Type Restriction,Bundle,Datatype,List,Name,is container,is ripetibile,wysiwyg,List Values
RELAZIONI,documento,ca_places,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_attribute_altra_denominazione_geo,Text,,Altra denominazione geografica generica,FALSE,FALSE,,
RELAZIONI,documento,ca_attribute_mare_oceano,Text,,Mare-oceano,FALSE,FALSE,,
RELAZIONI,documento,ca_attribute_quota,Text,,Profondità/Quota,FALSE,FALSE,,
RELAZIONI,documento,ca_attribute_specifcihe_raccolta,Text,,Specifiche di raccolta/Note,FALSE,FALSE,,
RELAZIONI,documento,ca_attribute_scheda_iccd.cdr,Text,,Codice Regione,TRUE,FALSE,,
RELAZIONI,documento,ca_attribute_scheda_iccd.cbc,Text,,Codice univoco,TRUE,FALSE,,
RELAZIONI,documento,ca_attribute_scheda_iccd.tsk,List,tsk,Tipo modulo,TRUE,FALSE,,BDI; BDM; BIB; BNB; BNM; BNP; BNPE; BNZ; D; F; NU; OAC; PST; S; RA; OA; AT
RELAZIONI,documento,ca_entities,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_entities,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_entities,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_objects,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_attribute_reimpiego.reimpiego_parte,Text,,Parte reimpiegata,TRUE,TRUE,,
RELAZIONI,documento,ca_attribute_reimpiego.reimpiego_tipo,Text,,Tipo reimpiego,TRUE,TRUE,,
RELAZIONI,documento,ca_attribute_reimpiego.reimpiego_data,Text,,Datazione reimpiego,TRUE,TRUE,,
RELAZIONI,documento,ca_entities,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_occurrences,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_occurrences,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_occurrences,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_collections,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_occurrences,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_occurrences,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_loans,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_object_lots,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_movements,,,,FALSE,FALSE,,
RELAZIONI,documento,ca_objects_history,,,,FALSE,FALSE,,
